001 	001 	Bulbizarre 	45 	49 	49 	45 	65 	253
002 	002 	Herbizarre 	60 	62 	63 	60 	80 	325
003 	003 	Florizarre 	80 	82 	83 	80 	100 	425
004 	004 	Salamèche 	39 	52 	43 	65 	50 	249
005 	005 	Reptincel 	58 	64 	58 	80 	65 	325
006 	006 	Dracaufeu 	78 	84 	78 	100 	85 	425
007 	007 	Carapuce 	44 	48 	65 	43 	50 	250
008 	008 	Carabaffe 	59 	63 	80 	58 	65 	325
009 	009 	Tortank	79 	83 	100 	78 	85 	425
010 	010 	Chenipan 	45 	30 	35 	45 	20 	175
011 	011 	Chrysacier 	50 	20 	55 	30 	25 	180
012 	012 	Papilusion 	60 	45 	50 	70 	80 	305
013 	013 	Aspicot 	40 	35 	30 	50 	20 	175
014 	014 	Coconfort 	45 	25 	50 	35 	25 	180
015 	015 	Dardargnan 	65 	80 	40 	75 	45 	305
016 	016 	Roucool 	40 	45 	40 	56 	35 	216
017 	017 	Roucoups 	63 	60 	55 	71 	50 	299
018 	018 	Roucarnage 	83 	80 	75 	91 	70 	399
019 	019 	Rattata 	30 	56 	35 	72 	25 	218
020 	020 	Rattatac 	55 	81 	60 	97 	50 	343
021 	021 	Piafabec 	40 	60 	30 	70 	31 	231
022 	022 	Rapasdepic 	65 	90 	65 	100 	61 	381
023 	023 	Abo 	35 	60 	44 	55 	40 	234
024 	024 	Arbok 	60 	85 	69 	80 	65 	359
025 	025 	Pikachu 	35 	55 	30 	90 	50 	260
026 	026 	Raichu 	60 	90 	55 	100 	90 	395
027 	027 	Sabelette 	50 	75 	85 	40 	30 	280
028 	028 	Sablaireau 	75 	100 	110 	65 	55 	405
029 	029 	Nidoran♀ 	55 	47 	52 	41 	40 	235
030 	030 	Nidorina 	70 	62 	67 	56 	55 	310
031 	031 	Nidoqueen 	90 	82 	87 	76 	75 	410
032 	032 	Nidoran♂ 	46 	57 	40 	50 	40 	233
033 	033 	Nidorino 	61 	72 	57 	65 	55 	310
034 	034 	Nidoking 	81 	92 	77 	85 	75 	410
035 	035 	Mélofée 	70 	45 	48 	35 	60 	258
036 	036 	Mélodelfe 	95 	70 	73 	60 	85 	383
037 	037 	Goupix 	38 	41 	40 	65 	65 	249
038 	038 	Feunard 	73 	76 	75 	100 	100 	424
039 	039 	Rondoudou 	115 	45 	20 	20 	25 	225
040 	040 	Grodoudou 	140 	70 	45 	45 	50 	350
041 	041 	Nosferapti 	40 	45 	35 	55 	40 	215
042 	042 	Nosferalto 	75 	80 	70 	90 	75 	390
043 	043 	Mystherbe 	45 	50 	55 	30 	75 	255
044 	044 	Ortide 	60 	65 	70 	40 	85 	320
045 	045 	Rafflesia 	75 	80 	85 	50 	100 	390
046 	046 	Paras 	35 	70 	55 	25 	55 	240
047 	047 	Parasect 	60 	95 	80 	30 	80 	345
048 	048 	Mimitoss 	60 	55 	50 	45 	40 	250
049 	049 	Aéromite 	70 	65 	60 	90 	90 	375
050 	050 	Taupiqueur 	10 	55 	25 	95 	45 	230
051 	051 	Triopikeur 	35 	80 	50 	120 	70 	375
052 	052 	Miaouss 	40 	45 	35 	90 	40 	250
053 	053 	Persian 	65 	70 	60 	115 	65 	375
054 	054 	Psykokwak 	50 	52 	48 	55 	50 	255
055 	055 	Akwakwak 	80 	82 	78 	85 	80 	405
056 	056 	Férosinge 	40 	80 	35 	70 	35 	260
057 	057 	Colossinge 	65 	105 	60 	95 	60 	385
058 	058 	Caninos 	55 	70 	45 	60 	50 	280
059 	059 	Arcanin 	90 	110 	80 	95 	80 	455
060 	060 	Ptitard 	40 	50 	40 	90 	40 	260
061 	061 	Têtarte 	65 	65 	65 	90 	50 	335
062 	062 	Tartard 	90 	85 	95 	70 	70 	420
063 	063 	Abra 	25 	20 	15 	90 	105 	255
064 	064 	Kadabra 	40 	35 	30 	105 	120 	330
065 	065 	Alakazam 	55 	50 	45 	120 	135 	405
066 	066 	Machoc 	70 	80 	50 	35 	35 	270
067 	067 	Machopeur 	80 	100 	70 	45 	50 	345
068 	068 	Mackogneur 	90 	130 	80 	55 	65 	420
069 	069 	Chétiflor 	50 	75 	35 	40 	70 	270
070 	070 	Boustiflor 	65 	90 	50 	55 	85 	345
071 	071 	Empiflor 	80 	105 	65 	70 	100 	420
072 	072 	Tentacool 	40 	40 	35 	70 	100 	285
073 	073 	Tentacruel 	80 	70 	65 	100 	120 	435
074 	074 	Racaillou 	40 	80 	100 	20 	30 	270
075 	075 	Gravalanch 	55 	95 	115 	35 	45 	345
076 	076 	Grolem 	80 	110 	130 	45 	55 	420
077 	077 	Ponyta 	50 	85 	55 	90 	65 	345
078 	078 	Galopa 	65 	100 	70 	105 	80 	420
079 	079 	Ramoloss 	90 	65 	65 	15 	40 	275
080 	080 	Flagadoss 	95 	75 	110 	30 	80 	390
081 	081 	Magnéti 	25 	35 	70 	45 	95 	270
082 	082 	Magnéton 	50 	60 	95 	70 	120 	395
083 	083 	Canarticho 	52 	65 	55 	60 	58 	315
084 	084 	Doduo 	35 	85 	45 	75 	35 	275
085 	085 	Dodrio 	60 	110 	70 	100 	60 	400
086 	086 	Otaria 	65 	45 	55 	45 	70 	280
087 	087 	Lamantine 	90 	70 	80 	70 	95 	405
088 	088 	Tadmorv 	80 	80 	50 	25 	40 	275
089 	089 	Grotadmorv 	105 	105 	75 	50 	65 	400
090 	090 	Kokiyas 	30 	65 	100 	40 	45 	280
091 	091 	Crustabri 	50 	95 	180 	70 	85 	480
092 	092 	Fantominus 	30 	35 	30 	80 	100 	275
093 	093 	Spectrum 	45 	50 	45 	95 	115 	350
094 	094 	Ectoplasma 	60 	65 	60 	110 	130 	425
095 	095 	Onix 	35 	45 	160 	70 	30 	340
096 	096 	Soporifik 	60 	48 	45 	42 	90 	285
097 	097 	Hypnomade 	85 	73 	70 	67 	115 	410
098 	098 	Krabby 	30 	105 	90 	50 	25 	300
099 	099 	Krabboss 	55 	130 	115 	75 	50 	425
100 	100 	Voltorbe 	40 	30 	50 	100 	55 	275
101 	101 	Électrode 	60 	50 	70 	140 	80 	400
102 	102 	Noeunoeuf 	60 	40 	80 	40 	60 	280
103 	103 	Noadkoko 	95 	95 	85 	55 	125 	455
104 	104 	Osselait 	50 	50 	95 	35 	40 	270
105 	105 	Ossatueur 	60 	80 	110 	45 	50 	345
106 	106 	Kicklee 	50 	120 	53 	87 	35 	345
107 	107 	Tygnon 	50 	105 	79 	76 	35 	345
108 	108 	Excelangue 	90 	55 	75 	30 	60 	310
109 	109 	Smogo 	40 	65 	95 	35 	60 	295
110 	110 	Smogogo 	65 	90 	120 	60 	85 	420
111 	111 	Rhinocorne 	80 	85 	95 	25 	30 	315
112 	112 	Rhinoféros 	105 	130 	120 	40 	45 	440
113 	113 	Leveinard 	250 	5 	5 	50 	105 	415
114 	114 	Saquedeneu 	65 	55 	115 	60 	100 	395
115 	115 	Kangourex 	105 	95 	80 	90 	40 	410
116 	116 	Hypotrempe 	30 	40 	70 	60 	70 	270
117 	117 	Hypocéan 	55 	65 	95 	85 	95 	395
118 	118 	Poissirène 	45 	67 	60 	63 	50 	285
119 	119 	Poissoroy 	80 	92 	65 	68 	80 	385
120 	120 	Stari 	30 	45 	55 	85 	70 	285
121 	121 	Staross 	60 	75 	85 	115 	100 	435
122 	122 	M. Mime 	40 	45 	65 	90 	100 	340
123 	123 	Insécateur 	70 	110 	80 	105 	55 	420
124 	124 	Lippoutou 	65 	50 	35 	95 	95 	340
125 	125 	Élektek 	65 	83 	57 	105 	85 	395
126 	126 	Magmar 	65 	95 	57 	93 	85 	395
127 	127 	Scarabrute 	65 	125 	100 	85 	55 	430
128 	128 	Tauros 	75 	100 	95 	110 	70 	450
129 	129 	Magicarpe 	20 	10 	55 	80 	20 	185
130 	130 	Léviator 	95 	125 	79 	81 	100 	480
131 	131 	Lokhlass 	130 	85 	80 	60 	95 	450
132 	132 	Métamorph 	48 	48 	48 	48 	48 	240
133 	133 	Évoli 	55 	55 	50 	55 	65 	280
134 	134 	Aquali 	130 	65 	60 	65 	110 	430
135 	135 	Voltali 	65 	65 	60 	130 	110 	430
136 	136 	Pyroli 	65 	130 	60 	65 	110 	430
137 	137 	Porygon 	65 	60 	70 	40 	75 	310
138 	138 	Amonita 	35 	40 	100 	35 	90 	300
139 	139 	Amonistar 	70 	60 	125 	55 	115 	425
140 	140 	Kabuto 	30 	80 	90 	55 	45 	300
141 	141 	Kabutops 	60 	115 	105 	80 	70 	430
142 	142 	Ptéra 	80 	105 	65 	130 	60 	440
143 	143 	Ronflex 	160 	110 	65 	30 	65 	430
144 	144 	Artikodin 	90 	85 	100 	85 	125 	485
145 	145 	Électhor 	90 	90 	85 	100 	125 	490
146 	146 	Sulfura 	90 	100 	90 	90 	125 	495
147 	147 	Minidraco 	41 	64 	45 	50 	50 	250
148 	148 	Draco 	61 	84 	65 	70 	70 	350
149 	149 	Dracolosse 	91 	134 	95 	80 	100 	500
150 	150 	Mewtwo 	106 	110 	90 	130 	154 	590
151 	151 	Mew 	100 	100 	100 	100 	100 	500
